food_id,food_name,brand,serving_size,serving_unit,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g,potassium_mg,is_verified
23,Cottage Cheese (2% Low Fat),,0.5,cup (113g),92,2.5,1.5,15,348,5,0,4,12,97,true
24,White Rice (cooked),,1,cup,206,0.4,0.1,0,2,45,0.6,0.1,4.3,55,true
25,Canned Tuna (in water),"StarKist",1,can (142g),191,1.4,0.4,60,558,0,0,0,42,360,true
26,Mixed Greens Salad (no dressing),,2,cups,18,0.2,0,0,35,3.5,1.8,0.8,1.5,200,true
27,Ranch Dressing,"Hidden Valley",2,tbsp (30g),140,14,2.5,5,260,2,0,1,0.5,30,true
28,Spaghetti (whole wheat cooked),,1,cup,174,0.8,0.1,0,4,37,6.3,0.8,7.5,62,true
29,Marinara Sauce,"Rao's Homemade",0.5,cup (125g),80,5,0.5,0,390,7,2,5,1,0,true
30,Cheddar Cheese,,1,oz (28g),113,9.3,5.3,28,176,0.9,0,0.3,7,21,true
31,Greek Salad,,1,serving,220,16,6,25,580,8,2,4,8,280,true
32,Turkey Sandwich (whole wheat),,1,sandwich,350,8,2.5,45,890,42,5,6,24,300,true
33,Protein Pancakes (homemade),,3,pancakes,320,8,2,95,480,32,3,6,30,350,true
34,Trail Mix,,0.25,cup (35g),175,11,1.5,0,45,15,2,9,5,180,true
35,Beef Stir Fry (homemade),,1.5,cups,380,15,4,75,780,22,4,8,35,520,true
36,Lentil Soup (homemade),,1.5,cups,280,4,0.5,0,650,40,15,4,18,600,true
37,Iced Coffee (black),,16,oz,5,0,0,0,10,0,0,0,0.5,120,true
38,Honey,,1,tbsp,64,0,0,0,1,17,0,17,0.1,11,true
39,Blueberries (fresh),,1,cup (148g),84,0.5,0,0,1,21,3.6,15,1.1,114,true
40,String Cheese,"Sargento",1,stick (28g),80,6,3.5,15,200,1,0,0,7,20,true
41,Grilled Shrimp,,4,oz,120,1.8,0.3,170,805,1,0,0,23,180,true
42,Quinoa (cooked),,1,cup,222,3.6,0.4,0,13,39,5.2,1.6,8.1,318,true
43,Rotisserie Chicken Thigh (skin removed),,1,thigh (95g),170,8,2.3,95,75,0,0,0,23,220,true
44,Clif Bar (Chocolate Chip),"Clif Bar",1,bar (68g),250,5,1.5,0,150,44,5,21,10,210,true
45,Steamed Vegetables (mixed),,1,cup,45,0.3,0.1,0,30,9,3.5,3.5,2.5,250,true
46,Kulukki Sarbath (Nannari Lemonade),,1,glass (350ml),162,0.2,0,0,12,42,0.5,40,0.3,85,true
47,Idli (steamed rice cake),,2,pieces (60g each),130,0.4,0.1,0,15,28,1.2,0.5,3.8,45,true
48,Puttu (steamed rice log),,1,cylinder (150g),218,1.5,0.8,0,8,46,2.0,1.2,4.5,62,true
49,Kerala Parotta,,1,parotta (80g),260,8.5,3.2,5,320,40,1.5,2.0,5.2,78,true
50,Sambar (lentil vegetable stew),,1,cup (240ml),135,4.2,0.6,0,580,18,4.5,3.8,6.5,420,true
51,Coconut Chutney,,2,tbsp (30g),52,4.5,3.8,0,85,2.5,1.0,1.2,0.8,65,true
52,Avial (mixed vegetable coconut),,1,cup (200g),145,8.2,5.5,0,290,14,4.8,3.5,3.2,380,true
53,Palada Payasam (rice dessert),,1,cup (200ml),285,9.5,6.2,25,68,44,0.5,38,5.8,145,true
