courseId,id,title,description,state,maxPoints,workType,topicId,creationTime,updateTime,dueDate_year,dueDate_month,dueDate_day,dueTime_hours,dueTime_minutes,alternateLink
course_002,cw_202,CSS Selectors Challenge,Style the provided HTML document using only CSS selectors. Demonstrate class id descendant and pseudo-class selectors.,PUBLISHED,25,ASSIGNMENT,topic_202,2025-01-29T09:00:00Z,2025-01-29T09:00:00Z,2025,2,5,23,59,https://classroom.google.com/c/course_002/a/cw_202
course_002,cw_203,Flexbox Layout Project,Build a responsive card layout using CSS Flexbox. Cards should wrap and maintain consistent spacing on all screen sizes.,PUBLISHED,50,ASSIGNMENT,topic_203,2025-02-12T09:00:00Z,2025-02-12T09:00:00Z,2025,2,21,23,59,https://classroom.google.com/c/course_002/a/cw_203
course_002,cw_204,JavaScript Calculator,Build a functional calculator using HTML CSS and JavaScript. Must handle addition subtraction multiplication and division.,PUBLISHED,100,ASSIGNMENT,topic_204,2025-02-26T09:00:00Z,2025-02-26T09:00:00Z,2025,3,7,23,59,https://classroom.google.com/c/course_002/a/cw_204
course_002,cw_205,DOM Todo List App,Create an interactive todo list application using DOM manipulation. Features: add delete and mark complete.,PUBLISHED,100,ASSIGNMENT,topic_205,2025-03-12T09:00:00Z,2025-03-12T09:00:00Z,2025,3,21,23,59,https://classroom.google.com/c/course_002/a/cw_205
course_002,cw_206,Weather API Project,Build a weather dashboard that fetches data from a public API and displays current conditions and forecast.,PUBLISHED,100,ASSIGNMENT,topic_206,2025-04-02T09:00:00Z,2025-04-02T09:00:00Z,2025,4,16,23,59,https://classroom.google.com/c/course_002/a/cw_206
course_002,cw_207,Final Portfolio Revision,Revise and expand your personal portfolio with JavaScript interactivity and responsive design. Deploy to GitHub Pages.,PUBLISHED,100,ASSIGNMENT,topic_206,2025-04-21T09:00:00Z,2025-04-21T09:00:00Z,2025,5,5,23,59,https://classroom.google.com/c/course_002/a/cw_207
course_003,cw_301,Number Systems Worksheet,Convert between binary decimal and hexadecimal. Complete all 20 conversion problems showing your work.,PUBLISHED,25,ASSIGNMENT,topic_301,2025-01-13T09:00:00Z,2025-01-13T09:00:00Z,2025,1,20,23,59,https://classroom.google.com/c/course_003/a/cw_301
course_003,cw_302,Internet Protocols Quiz,Explain the difference between TCP and UDP. Give one example use case for each.,PUBLISHED,10,SHORT_ANSWER_QUESTION,topic_302,2025-01-30T09:00:00Z,2025-01-30T09:00:00Z,2025,1,30,23,59,https://classroom.google.com/c/course_003/a/cw_302
course_003,cw_303,Algorithm Flowcharts,Design flowcharts for three algorithms: linear search binary search and bubble sort. Use proper flowchart symbols.,PUBLISHED,50,ASSIGNMENT,topic_303,2025-02-19T09:00:00Z,2025-02-19T09:00:00Z,2025,2,28,23,59,https://classroom.google.com/c/course_003/a/cw_303
course_003,cw_304,Data Privacy Research Paper,Write a 2-page research paper on data privacy concerns with social media platforms. Cite at least 3 sources.,PUBLISHED,100,ASSIGNMENT,topic_304,2025-03-12T09:00:00Z,2025-03-12T09:00:00Z,2025,3,28,23,59,https://classroom.google.com/c/course_003/a/cw_304
course_003,cw_305,Innovation Impact Presentation,Create a 5-minute presentation on a computing innovation and its societal impact. Include benefits and risks.,PUBLISHED,100,ASSIGNMENT,topic_305,2025-04-02T09:00:00Z,2025-04-02T09:00:00Z,2025,4,25,23,59,https://classroom.google.com/c/course_003/a/cw_305
